;company;paragraphs;label
202;crono;cronos: guillermo del toro's surreal directorial debut tells the story of an elderly antique dealer who discovers an ancient device which can prolong his life. stylish and oddly charming, this is as much a story about religion as it is about vampires and contains many of the aesthetics and devices del toro used in later movies. - theresa smith;
1445;motopia; * motopia ltd has announced the appointment of raelene webb qc as a director. ms webb is a senior barrister practicing from magayamirr chambers in darwin. apart from being one of the most experienced native title barristers in australia, her other areas of particular legal expertise include international law, mining and resources law, constitutional law and administrative law.;
1505;upsnap;"upsnap inc. (""upsnap"" or the ""company""), is pleased to announce that bruce howard, chief executive officer of the company, will present as a panelist at the 15th local search association conference on tuesday, april 21, 2015 at 10:30am pdt at loews hollywood hotel in hollywood, california.

 upsnap provides highly-targeted, data-driven mobile advertising to attract the ideal audience for brands big and small. combining first-party proprietary data and real-time analytics, upsnap goes beyond location to deliver site agnostic and results-driven campaigns that produce qualified, engaged customers. upsnap tailors each campaign to align with unique business goals, delivering the right customers for more meaningful exposure and better business results.";
1891;solarreserve;"link explains: ""the energy-supply agreement can be structured such that all technologies are integrated behind the fence at solarreserve's facility, or solarreserve can transfer control of the assets to the mine operator. in either case, the mine will enjoy a guaranteed fixed price of energy for the life of the project.

 solarreserve configures custom solutions based on the generating capacity, load factor, solar resource, level of fuel reduction, grid power availability and degree of power-infrastructure replacement desired.

 link says: ""solarreserve's flagship 110mw crescent dunes solar energy plant in nevada, us, with 10 hours of full-load energy storage, is the world's first utility-scale facility to feature advanced molten-salt power-tower energy-storage capabilities.""

 to deliver reliable and cost-effective 24/7 base load power, solarreserve is developing csp projects that integrate substantial pv into the design. link states: ""these 'hybrid' csp and pv projects can compete with traditional generation while providing emission-free and low-water-use generation.""

 solarreserve has an aggressive road map for performance improvements, optimisation and cost reduction. the company is already realising substantial cost optimisations in the technology, including cost and efficiency improvements for its next project in south africa. the heliostat field (mirrors) accounts for roughly 40% of the project's capital expenditure (capex) and represents the greatest opportunity for cost reduction. the key factors for this to happen are overall improvements and efficiencies in the design of the structures, control systems and the mirror facets.

 including the copiapo project, solarreserve currently has three projects in advanced stages of development in chile. the copiapo project will inject predictable, non-intermittent energy into the sistema interconectado central (sic) in the central part of the country, for delivery to a mining off-taker in that region.

 in addition, the copiapo solar energy project, in the atacama desert in northern chile, is a hybrid configuration utilising solarreserve's proprietary csp molten-salt thermal energy-storage technology combined with pv.

 graphic: picture 1, conergy's energy-storage technology has been engineered, developed and tested for remote locations that are without any power supply picture 2, crescent dune's 1.1gwh storage capability is almost 40 times the size of the largest battery storage project in construction or built to date, photo: solarreserve picture 3, a cad of highview power storage's new 5mw pre-commercial laes technology demonstrator

 link says: ""solarreserve's us developed proprietary storage technology is a fraction of the cost of utility-scale battery storage with virtually no performance degradations over time. and the molten salt never needs replacement for the entire 30+ year life of the plant.""

 solarreserve offers an end-to-end energy supply solution, which includes suitability assessment, technology configuration, permitting, finance and engineering, procurement and construction (epc) management, and ongoing power-plant operations or operational support.";
1893;solarreserve;"""we are pleased to continue our efforts to bring affordable clean energy to consumers, as well as deliver highly viable projects from our successful pv development efforts in the us,"" said kevin smith, ceo of solarreserve. ""these pv projects developed here in our home state are part of our global large-scale solar project development portfolio of more than 6.6 gigawatts (gw), which includes our advanced solar thermal technology, photovoltaic technology, and combined solutions that can deliver reliable, 24/7 baseload solar power that is cost-competitive with conventional energy sources.""

 the projects range in size from 20 mw to 25 mw -- in tulare, kings, and fresno counties in california -- and will power around 25,000 homes in the area. the projects were acquired from a partnership between solarreserve, llc and gcl solar energy, inc.";
2718;cempra;current antibiotics work now, for the most part. but if an epidemic of one of the multi-drug-resistant strains rapidly spreading across the globe happens, it will be too late to start funding the discovery of new antibiotics. the need to invest is now, so there are options when the inevitable next black death appears. this report addresses these issues. key topics covered: 1. introduction report objectives methodology and sources statistical notes 2. antibiotics overview bacteria taxonomy microbes in context antibiotics definition quest for super drugs soil microbes antibiotic categories gram-positive vs. gram-negative bacteria static vs. cidal susceptibility, potency and mic bactericidal antibiotics breakpoint efficacy and safety mechanisms of action antibiotic resistance resistance is nothing new costs of antibiotic resistance treatment guidelines antibiotic overuse eskape most common infections antibiotic resistance prevention national action plan for combating antibiotic resistant bacteria barda and niaid budgets presidential advisory council united kingdom review on antimicrobial resistance margolis center for health policy gain act 21st century cures act mrsa on the decline cre poses an urgent threat failure rate high global problem u.s cases carbapenems use increasing esbls pose a serious threat new delhi metallo-beta-lactamase clostridium difficile few new antibiotics being produced low npv cost of trials new antibiotics hard to discover ichip five pharma companies left development now done by startups numerous studies on situation disaster planning path forward alternative is unimaginable 3. quest for super antibiotic drugs discovery platform has collapsed new antibiotic discovery process rationally improve existing antibiotics rediscover old antibiotics repurpose old drugs discover untested new chemical diversity community for open antimicrobial drug discovery target-based approaches long time-lower success rates focus for new antibiotic drugs well established dearth of new antibiotic drug classes r&d development and commercial challenges modest performance of new antibiotics few big players remain new key initiatives growing wave of activity in antibiotics activity mostly led by biotechs renewed enthusiasm antibiotics in late clinical development obtaining investments for new antibiotics is difficult startups believe they can find new antibiotics antibiotics approved in recent years stewardship new antibiotics that have received marketing authorization disappointing sales post-launch generic competition beta-lactamases, cephalosporinase and carbapenemase inhibitors new cephalosporins new aminoglycosides new pleuromutilins new tetracyclines new macrolides new fluoroquinolones and dna gyrase inhibitors new oxazolidinones new fatty acid biosynthesis inhibitors new folate biosynthesis inhibitors defensin-mimetic peptides other classes old antibiotics with new dosing ramoplanin fusidane fosfomycin early-stage molecules analogs of existing classes still difficult to develop new oral antibiotics for outpatients urgently needed new oral antibiotics for children urgently needed government incentives needed options market for antibiotics antibiotics prize 4. antibiotics market antibiotics production value production value by class quinolones cephalosporins marcolides penicillins carbapenems tetracyclines sulfonamides aminoglycosides other antibiotics production by region consumption volume data antibiotic market volume consumption by country class differences by country inappropriate use public health issues applications anti-mrsa antibiotics cubicin zyvox teflaro tygacil vibativ dalvance other community acquired bacterial pneumonia healthcare-associated infections decreasing medicare part d competitive environment large pharma exits antibiotics biotech enters antibiotics antibiotic deal making competitors market shares antibiotic supply chains india and china antibiotic supply chains antibiotic pollution issues chinese companies north china pharmaceutical group cspc pharmaceutical group/inner mongolia changsheng pharmaceuticals sinopharm weiqida shandong lukang pharmaceuticals harbin pharmaceutical group tonglian group united laboratories indian companies aurobindo mylan laboratories ltd. dr reddy's hetero drugs ltd. orchid pharmaceuticals 5. company profiles appendix 1: antibiotic classes aminoglycosides ß-lactams ß-lactam resistance penicillins carbapenems cephalosporins fluoroquinolones lipoglycopeptides lipopeptides oxazolidinones macrolides tetracyclines appendix 2: regulation food, drug, and cosmetic act approval process preclinical studies clinical trials marketing approval foreign clinical trials approval letter special fda expedited review and approval programs breakthrough therapy post-approval requirements section 505(b)(2) qualified infectious disease product exclusivity companies mentioned - achaogen inc - actelion ltd. - astazeneca plc - atox bio - basilea pharmaceutica ag - cempra inc - crystalgenomics, inc. - cubist pharmaceuticals, inc. - destiny pharma ltd. - dong wha pharmaceuticals - durata therapeutics, inc. - eisai co., ltd. - furiex pharmaceuticals, inc. - glaxosmithkline, plc. - grupo ferrer internacional s.a. - insmed incorporated - kalobios pharmaceuticals, inc. - melinta therapeutics, inc. - merck & co., inc - merlion pharmaceuticals pte ltd - micurx pharmaceuticals, inc. - nabriva therapeutics ag - novartis ag - osel inc - otonomy, inc - otsuka pharmaceutical co. ltd. - paratek pharmaceuticals, inc. - pfizer inc - polyphor ltd. - rebiotix, inc - roche holding ag - savara pharmaceuticals - sequella, incorporated - seres therapeutics, inc. - summit, plc - taigen biotechnology co., ltd. - tetraphase pharmaceuticals, inc - the medicines company - theravance biopharma inc;
2731;cempra;"'these supportive data on potential formulations for ophthalmic solithromycin and its additional potential activity in dry eye are important as we continue to progress ophthalmic solithromycin towards an ind,' said david oldach, m.d , chief medical officer of cempra.

 cempra, inc. (nasdaq:cemp), a clinical-stage pharmaceutical company focused on developing antibiotics to meet critical medical needs in the treatment of bacterial infectious diseases, today announced the company is presenting two abstracts highlighting topical ophthalmic formulations of solithromycin in preclinical models of activity, tolerability and pharmacokinetics (pk) in the eye at the annual meeting of the association for research in vision and ophthalmology (arvo) in baltimore, md.";
2967;gigamon; washington: gigamon inc. [ gimo ], santa clara, has filed a form 4 with the securities & exchange commission on  april 14, 2017 noting the change in the beneficial interest held by ho ted c, santa clara.;
3176;gigamon;"robert switz, chairman of the board for micron, inc (nasdaq); board director for marvell technology group (nasdaq); board director for gigamon, inc. (nyse); former chairman, president and ceo of adc telecommunications, inc.";
3525;makerbot;"""one in which one scans oneself and then prints out one's 3d effigies in makerbots at the mall or, as 3d printers become insanely cheaper (which is happening as i type these words), at home on the kitchen counter for $1.95,"" writes coupland.

  ""there still won't be many printed photos in our future - nobody, in the end, seems to want them - but prepare to be inundated by small makerbot plastic busts everywhere you look, modified and unmodified: him, her, me, them, them-with-devil-horns, her-with-three-eyes, you with a fork stuck into your forehead.";
