;company;content;label
1069;fleetmatics;"""we have seen tremendous growth in our m&a business as clients increasingly seek strategic advice to enhance the value of their businesses,"" said engel. ""our recent successes have included advising verizon in its purchase of fleetmatics and telogis, transcanada on its acquisition of columbia pipeline group and krispy kreme on its sale to jab beech. we will look to leverage david and sam's expertise and leadership to build and deepen client relationships.""";P
2255;socratic;this came as a surprise to me, i have to say. given so many on the right - and indeed, mainstream liberals - defended yiannopoulos's incessant public appearances using free speech arguments, i expected him to turn up on another late-night chat show to debate the merits of paedophilia via the socratic method. why didn't this happen? do we want a free marketplace of ideas or not?;X
5435;tenjin;a young tibetan monk was less circumspect about india's restrictions on the proposed march from india to tibet. after all, said tenjin damchoe, the indian-born child of tibetan refugees, tibetans had learned the art of the peaceful protest march from gandhi. ''it's a little bit disgrace,'' is how damchoe, 30, put it.;X
6582;cloudflare;"the ""protection fee"" demanded bitcoin payments ranging between $4,600 to $23,000, but because bitcoin is anonymous, the attackers could not know who paid. regardless, the threats were empty. cloudflare's study found no instances of the group actually launching attacks.

  using emails threatening to launch ddos attacks, a group of cybercriminals called the armada collective extorted hundreds of thousands of dollars from a wide range of businesses, according to a new investigation by cloudflare.";N
9028;foodpanda;techsci research depicts that the companys foray into food delivery services has the potential to change the food delivery industry in india as many of the players in this market such as zomato, foodpanda, swiggy etc. have found it difficult to cope up with the diverse indian food palate.;X
9734;corevalve;"these legal actions have no impact on the medtronic corevalve u.s. pivotal trial, the medtronic corevalve surtavi trial, or any other clinical studies evaluating the corevalve system. due to its global manufacturing capabilities, medtronic does not anticipate any interruption to the global supply of the medtronic corevalve system.

 minneapolis - november 13, 2012 - the federal circuit court of appeals has affirmed the april 2010 jury verdict from the federal district court of delaware that the corevalve® system infringed a single andersen patent held by edwards lifesciences. the court of appeals also remanded the case back to the district court to consider a potential injunction. while medtronic respects the court's ruling, we respectfully disagree with this conclusion and we are evaluating next steps.";Q
10054;channeladvisor;green made those comments in front of roughly 1,000 potential sellers who attended an annual conference called catalyst that is put on by cloud-based e-commerce solution provider channel advisor. channeladvisors software helps retailers, known as sellers in amazon parlance, and increasingly brands manage their business across a range of web sites, third party marketplaces and social media sites. consequently, channeladvisor secures high level executive participation from companies such as ebay, walmart, newegg, google, facebook and other who are eager to update catalyst attendees on new initiatives and tout the benefits of their respective platforms.;X
10096;channeladvisor;qubit the technology company has recruited seamus whittingham as vice president of commercial operations. whittingham has over 10 years' ecommerce experience. he was formerly managing director for europe, the middle east and africa at channeladvisor, and sales director for gsi commerce.;X
10733;smartthings;" samsung electronics unveiled its vision for 2016 during its press conference, at ces 2016. the company underlined the importance of innovation that makes a meaningful difference in people's everyday lives, and showcased its focus on the internet of things (iot) as an open platform, with smartthings technology. samsung also revealed the new bezel-less curved suhd tvs with quantum dot displays, the connected family hub refrigerator, its newest smartwatch - the gear s2 premium, and a large screen windows tablet, the galaxy tabpro s.

 all 2016 suhd tvs feature iot hub technology, developed by samsung with smartthings. the suhd tv can connect with and control over 200 smartthings compatible devices - whether it's to see who is ringing the doorbell, lock the doors or turn off the lights - all from the tv.";X
11105;epizyme;biopharmaceutical company epizyme (nasdaqgs:epzm) revealed on monday that it has received us food and drug administration (fda) orphan drug status for its first-in-class ezh2 inhibitor, tazemetostat, for the treatment of malignant rhabdoid tumors (mrts).;X
11648;taskrabbit;but the sad fact is, digital technologies continue to erode the face-to-face interactions that underpin local economies and communities. it has become a cliche to point out how genuine friendships are being eclipsed by the shallow 'friending' that takes place on facebook, or how people sitting together in a cafe will stare at their phones rather than engage with each other. if my friend rick ever decides to carry a smartphone, he might find himself hiring a stranger from taskrabbit to jump his truck, rather than seeking out a neighbor. with amazon and other online booksellers dominating the market, the local bookstore where rick and i met may not be around much longer. these are real-world losses, as more of our social and economic life - including reciprocal exchange - is monetized and absorbed by the internet.;X
