id;company;paragraphs;label
2402;sntech;"  sntech inc., a leading developer of high-efficiency, ""smart"" electric motors for both commercial and residential applications, announced that it filed a voluntary petition for relief under chapter 11 of the united states bankruptcy code in the united states bankruptcy court for the district of arizona. the company intends for the chapter 11 filing to enable it to seek an acquirer through an expeditious 363 sale process.

 to view the original version on pr newswire, visit:http://www.prnewswire.com/news-releases/sntech -seeks-strategic-sale-through-chapter-11-300011857.html

 the company, subject to court approval, has secured debtor-in-possession ""dip"" financing from existing sntech creditors for the planned 363 sale process.

 about sntech the company differentiates itself by offering electronically commutated motors (""ecm"") that are significantly more efficient than the energy-exhausting units used in the majority of residential and commercial hvacr and pump systems. the ecm's have wireless capability and integrated software compatible with any building management system (""distributed intelligence"").  the company's motors are amongst the only available as true drop-in replacements, allowing automatic adaption with smart software and sensors.  in addition, the motors have a proprietary multi-voltage feature, are agency-approved in the us and globally, and are designed to stay cool and quiet. for more information, please visithttp://www.sntech.com.";N
4021;zlemma;"but the model has potential downsides too. says ashwin rao, co-founder and ceo of nexus-funded recruitment software venture zlemma: ""split teams are fine as long as they can operate fairly independently . but if a startup has too much cross-border email/phone activity or too much back-and-forth travel, the split-model will not work.""";N
24;demandware;"congratulations and thanks to all of our speakers, presenters, panelists, sponsors and attendees. we are deeply grateful for your support and enthusiasm. it's been an absolutely spectacular year, and next year will be even better,"" says muller. hmg strategy, the world's largest independent and most trusted provider of executive networking events and thought leaderships, produced a 2017 event schedule which included executive summits in new york; san francisco; chicago; boston; menlo park, ca; dallas; iselin, n.j.; phoenix; charlotte; detroit; huntington beach, ca; st. louis; houston; denver; minneapolis; palo alto, ca; washington, d.c.; atlanta; greenwich, ct; toronto; san diego; seattle; philadelphia; and london. ""in addition to expanding and elevating the quality and experience offered by our live events, we've also significantly upgraded our digital platform with world-class, independent peer-to-peer research, original content and high-quality videos featuring leading executives and industry pioneers,"" says muller. ""meanwhile, membership growth in our (cela) program, a unique peer-to-peer advisory service that's designed to help top-tier technology leaders tackle their biggest challenges, experienced triple-digit growth, further validating the unique strengths of this unparalleled, forward-looking advisory model. having ramón baez, former svp, customer advocacy, hewlett packard enterprise to join me as co-chair of the cela program has been an incredible addition for the cela program. 2017 was an amazing year for hmg strategy and we're on track for even greater success in 2018 as we embark upon a new theme for our summits - lead, reimagine and reinvent to drive a culture of genius for success."" distinguished speakers and presenters in 2017 included rich adduci, former global cio, national grid; yuri aguiar, director of innovation and transformation, the ogilvy group; shobhana ahluwalia, head of information technology, uber; waqas akkawi, global chief information security officer, sirva worldwide; aileen alexander, senior client partner - co-leader global cybersecurity practice, korn ferry; jenny alfandary, cio, survalent; roota almeida, head of information security, delta dental of nj and ct; steven ambrose, vp cio, dte energy; bharat amin, vp cio, newport news shipbuilding; bhavani amirthalingam, vice president, information technology (ipo), schneider electric; edward amoroso, founder ceo, tag cyber llc; colin anderson, global ciso, levi strauss co.; don anderson, svp cio, federal reserve bank of boston; michael anderson, special agent in charge, chicago, fbi; snehal antani, former svp gm, business analytics iot, splunk; renee arrington, senior vice president, pearson partners international, inc.; bryce austin, ceo, tce strategy; saqib awan, vice president, lightspeed venture partners; sunny azadeh, vp it is, guidewire software; ramón baez, former svp, customer advocacy, hewlett packard enterprise and now executive-in-residence, cio evangelist and co-chair of the hmg strategy cio and ciso executive leadership alliance (cela) program;ashwin ballal, ph.d., cio, medallia;shawn banerji, managing director, technology, digital and data leaders practice, caldwell partners;justin barney, president ceo, scalearc;todd barnum, ciso, gopro inc.;gene barskiy, executive vice president, sim new jersey;jack barsky, former it executive, author public speaker;chris bedi, cio, servicenow;james beeson, vp ciso, cigna;delaney bellinger, vp cio, huntsman corporation;christopher bernard, managing director, global security risk, cushman wakefield;gerald beuchelt, cso, demandware;vic bhagat, cio, verizon enterprise solutions; shoukat al bhamani, cio, cpo vp digitalization, schaeffler group americas; chris bitner, global ciso, bloomin' brands, inc.; steve booth, vp chief security officer, fireeye; david bray, eisenhower fellow to taiwan australia, council on foreign relations, marshall fellow; scott brindamour, avp, architect team, advanced technology solutions, centurylink; mark brooks, svp, cio, centene; bill brown, svp ciso, houghton mifflin harcourt; robin brown, former vp cio, mortenson; jeff brzycki, cio, autodesk; greg buoncontri, former evp cio, pitney bowes, inc.; scott cadwalader, co-founder managing partner, diligent partners, llc; paul calatayud, cto, firemon; andrew campbell, cio, terex; timothy campos, former cio, facebook; susan certoma, president, enterprise engineering, inc.; nicolas m. chaillan, senior advisor for cybersecurity, fema; mamatha chamarthi, svp, chief digital officer cio, zf trw; asheem chandna, partner, greylock partners; paul chapman, cio, box; jack clare, svp, chief information and strategy officer, dunkin' brands; anil cheriyan, evp cio, suntrust bank; larry clinton, president, internet security alliance; donald codling, ciso cpo, urban ft; brook colangelo, evp cto, houghton mifflin harcourt; ted colbert, cio svp, information analytics, the boeing company; nicholas colisto, svp cio, xylem inc.; matt comyns, managing partner, cyber security practice, the caldwell partners; bob concannon, senior client partner, cio/it officers practice, korn ferry; tom conophy, evp cto, autonation; chris cook, president ceo, delphix; jason cooper, owner and managing director, jgc llc; mignona cote, ciso aetna international, ciso payflex, sr. director/business compliance officer, global security, aetna; tim crawford, cio strategic advisor, avoa; julie cullivan, svp, business operations and cio, forescout technologies, inc.; jamey cummings, senior client partner information officers practice/co-leader cybersecurity practice, korn ferry; craig cuyar, global cio, omnicom; bill daley, head, information security risk management, u.s. for technology infrastructure services, novartis; dale danilewitz, evp cio, amerisourcebergen corporation; mike dauber, general partner, amplify partners; kirsten davies, group chief security officer, barclays africa group; matt davies, sr. director, it risk management and cybersecurity, ciena; dana deasy, former managing director global cio, jpmorgan chase co.; jason dehaan, cio, gildan; esteban deleon, chief executive officer, renegade strategies corporation; michael del priore, cio, diversey; gary desai, svp cio, ieh autoplus and pep boys; beth devin, director, innovation network, citi ventures; amy doherty, svp cio, aarp; paul douglas, svp cio, aon; johnny dranchak, vice president innovation and digital, oneworld management company; mark dubrock, svp technology infrastructure and support, the madison square garden company; nicole eagan, ceo, darktrace; anil earla, head of information and data analytics, global is, visa inc.; mark egan, partner, stratafusion; john engates, chief technology officer, rackspace; greg ericson, svp cio, essilor of america; greg fancher, former cio, taco bell corporation; thomas farrington, cio, perrigo company; ryan fay, global cio, aci benefits; greg fell, chief operating officer, gama aviation; victor fetter, chief digital officer, vertiv co.; jay ferro, evp, chief information and technology officer, examworks; paul fipps, cio evp, global operations, under armour; ursuline foley, managing director and corporate platform officer, xl group and president of the fairfield/westchester sim chapter; kathryn freytag, vp cio, donaldson; hugo fueglein, managing director, diversified search; kay fuhrman, partner, heidrick struggles; tsvi gal, cto, morgan stanley; michelle garvey, cio, j. crew; rahoul ghose, former svp cio, lifetouch; mark gingrich, cio, surescripts; mike giresi, cio, aramark; stephen gold, evp cio, cvs health; clark golestani, president, emerging businesses cio, merck; ken grady, cvp cio, idexx laboratories; chuck gray, consultant, egon zehnder; jeffrey grayson, svp cio, intrawest; rajiv gupta, co-founder ceo, skyhigh networks; roger gurnani, evp, chief information and technology architect, verizon; graeme hackland, cio, williams f1 team; marc hamer, corporate vp, digital and global cio, sealed air corporation; gary harbison, ciso, monsanto; jon harding, global cio, conair corporation; cindy harro, security, compliance, and risk program director, healthcare cloud, ibm watson health; jennifer hartsock, global cio, ge oil and gas; kevin haskew, svp cio, on semiconductor; jim haskin, svp cio, aspect software; patty hatter, cio, strategic advisor, multiple startups; linglong he, cio, quicken loans; mary heger, svp cio, ameren services center; shawn henry, president, crowdstrike services and cso, crowdstrike; rosalee hermens, vp cio, true value company; jean hill, managing director, alvarez marsal; bruce hoffmeister, global cio, marriott international; steve holland, leadership team, amazon; rich hopfer, former cio, molina healthcare; jeanette horan, former ibm executive, experienced board member; e. jeffrey hutchinson, svp global cio, bombardier; john iannarelli, former fbi special agent and senior executive advisor on cyber matters; michael israel, svp cio, six flags entertainment corp.; bhushan ivaturi, vp and global cio, maersk oil gas; bask iyer, evp cio, dell; trina clark james, regional director, npower; arif janmohamed, partner, lightspeed venture partners; debra jensen, former svp cio, charlotte russe; alissa johnson, vp, chief information security officer, xerox; clay johnson, evp cio, walmart; wanda jones-heath, deputy chief information security officer, united states air force; sheila jordan, svp cio, symantec; mike kail, chief innovation officer, cybric; adriana karaboutis, chief digital information officer, national grid; sandeep katarnavre, cio vp it, saint-gobain; stephen katsirubas, cio, hunter douglas; steve kendrick, president, ker partners; yousuf khan, cio, pure storage; josh knopp, vp, information security officer, enterprise holdings, inc.; thomas koulopoulos, chairman and founder, delphi group; emmeline kuhn, consultant, leathwaite; ajoy kumar, head of it risk analysis and reporting, the depository trust clearing corporation; matthew lagana, chief information security officer, mbia; kate lanners, global supply chain it leader, ecolab; ankur laroia, leader - solutions strategy, alfresco; tony leng, managing director, practice lead and omp, diversified search; sean lennon, svp global cio, allergan, plc; janet levesque, chief information security officer, rsa; aaron levie, ceo, co-founder chairman, box; rockford lhotka, cto, magenic; beverly lieberman, president, halbrecht lieberman associates; bill limond, former cio, national health insurance co., qatar supreme council of health; elwin loomis, sr. director, store of the future, target; bob lord, former ciso, yahoo!; ralph loura, cto, rodan + fields; robert lux, evp cio, cenlar fsb; lesley ma, global cio, cadillac general motors; andrew maccauley, cio/cto, top golf; michael macrie, svp cio, land o'lakes; david mahon, vp chief security officer, centurylink; hari makkala, chief information officer, delta dental of california; christopher mandelaris, vp, chief information security privacy officer, chemical bank; joel manfredo, cio, motion picture industry pension health plans; paul martin, corporate vp cio, baxter international; gerri martin-flickinger, evp, cto, starbucks; israel martinez, chairman ceo, axon global; bill mayo, cio, the broad institute; todd mazza, vp of it, workday; sean mccourt, founder managing director, longford company; tom mccurley, cio, the chefs warehouse.; kathy mcelligott, evp, cio/cto, mckesson corporation; james mcjunkin, vp, enterprise threat and intelligence management ciso, discover financial services; david mcleod, founding board member vice chair, retail cyber intelligence sharing center; john mealia, senior client partner, korn ferry; howard melnick, evp, interim global cio, signet jewelers limited; andre mendes, cio/cto, u.s. broadcasting board of governors; shamim mohammad, senior vice president cio, carmax; jason molfetas, evp, chief marketing, digital and business development, amtrak; marcus morissette, global privacy officer and privacy counsel at ebay; harry moseley, cio and managing director, kpmg; barb munro, co-founder and partner, the carrera agency; david munroe, director, information security, national hockey league; vipul nagrath, global cio, adp, llc; shamla naidoo, global ciso, ibm; nick nedostup, vice president and chief information security officer, johnson controls; lisa nichols, ceo, technology partners; adam noble, svp cio, gaf materials corporation; jim noga, vp cio, partners healthcare; amit pandey, ceo, avi networks; georgia papathomas, vp cio, johnson johnson pharmaceuticals; kevin parlette, vp, it (cio), dana incorporated; jeetu patel, chief product officer chief strategy officer, box; john parkinson, senior advisor, cyber security strategy technology, allstate insurance; nicholas parrotta, chief digital information officer, harman international; edwina payne, vp cio, halyard health; tom peck, svp, cio and global head, procurement travel, aecom; matt peterson, svp cio, delphi; steve phillips, former svp cio, avnet, inc.; steve phillpott, cio, western digital corporation; todd pierce, board of directors, dignity health; mark polansky, senior partner, cio/it officers practice, korn ferry; lisa porlier, managing director, technology sector leader, russell reynolds associates; joseph puglisi, vp, it, nice-pak products, inc.; dan puterbaugh, senior legal advocate, adobe; tianbing (tq) qian, svp cio, ports america; larry quinlan, global cio, deloitte; sirish raghuram, co-founder and ceo, platform9; meerah rajavel, cio, qlik it; ashwin rangan, svp engineering cio, icann; rahul ravulur, founder, ceo, apporbit; jonathan reichental, cio, city of palo alto; john repko, cio, johnson controls; dan roberts, president ceo, ouellette associates; ed robben, svp cio, fossil; carissa rollins, svp cio, gander mountain; matthew rosenquist, cybersecurity strategist, intel corporation; james ross, cio global functions, ge digital; john rossman, managing director, alvarez marsal; bernadette rotolo, group vp, global head of solutions delivery management, adecco group; dr. howard rubin, founder, rubin worldwide; dan rubins, co-founder ceo, legal robot; thomas sammel, principal - head of cybersecurity, kkr co. l.p.; vijay sankaran, cio, td ameritrade; pete sattler, svp cio, john wiley and sons; candida seasock, founder and president, cts associates, llc; mark settle, cio, okta; bill schlough, svp cio, san francisco giants; yvonne scott, cio, crowe horwath llp; rama sekhar, partner, norwest venture partners; yasmin shah, sim san diego co-founder and cio and board member, village to village network; naresh shanker, cio, hp inc.; daniel sheehan, former svp cio, dentaquest; janet sherlock, svp cio, ralph lauren; george sheth, mba, managing partner, diligent partners; brian shield, vp, it, boston red sox; manjit singh, svp cio, the clorox company; raj singh, former evp cio, forddirect; bipul sinha, co-founder and ceo, rubrik; pranab sinha, vp, it, seagate technology; barry sloane, president ceo, newtek business services corp.; david smoley, cio, astrazeneca; ed solomon, corporate engagement consultant, year up; ed soo hoo, data center evangelist, lenovo; stephen spagnuolo, vp business development, lynx technology partners; michael spandau, svp global it cio, fender musical instruments; scott spradley, cto, tyson foods, inc.; randall spratt, evp, cio cto - retired, mckesson corporation; tim stanley, president, cxo founder, tekexecs/innovatects/cxoco; patrick steele, chair, cio advisory board, blumberg capital; kimberly stevenson, senior vice president, lenovo; vaughn stewart, vp architect, global technical partners, pure storage; cynthia stoddard, svp cio, adobe; scott strickland, cio, wyndham hotel group; brad strock, cio, paypal; hilton sturisky, global cio, crawford company; muddu sudhakar, entrepreneur executive; george surdu, evp cto, comerica bank; jim swanson, cio, monsanto; bob tapscott, management consultant, the tapscott group; karenann terrell, chief digital technology officer, glaxosmithkline plc; dee thibodeau, ceo, charter solutions; mark tonnesen, cio, cso and vp operations, neustar, inc.; joe topinka, cio, snapav; gregory touhill, president, cyxtera federal group, cyxtera technologies; john trainor, vp cio, aaron's, inc.; steve trautman, principal and founder, the steve trautman co.; clif triplett, executive director, a.t. kearney; howard tullman, ceo, 1871; james turgal, executive assistant director, information and technology branch, fbi; vijayanand vadrevu, head - global it infrastructure services, novartis; william vancuren, svp cio, ncr corporation; kevin vasconi, evp cio, domino's; radhika venkatraman, svp cio - network technology, verizon; ken venner, cio, space exploration technologies; paul von autenreid, svp cio, bristol-myers squibb; gary vonderhaar, evp, operations technology - processing, mastercard; ajay waghray, evp cto, assurant; milind wagle, cio, equinix; brett wahlin, svp chief security officer, staples; craig walker, vp cio shell downstream, shell international petroleum company; james walsh, svp, cio, wsp parsons brinckerhoff; peter weis, vp global cio, matson navigation company; debbie wheeler, ciso, freddie mac; brad whitehall, vice president, information technology, cio, unifirst corporation; john whiting, global chief information security officer, ddb worldwide; michael wilson, svp global ciso, mckesson corporation; deanna wise, evp cio, dignity health; chris wlaschin, chief information security officer, u.s. department of health and human services; gabrielle wolfson, cio, xerox; mike wright, global cio, mckinsey co.; jed yueh, founder, executive chairman, delphix; angela yochem, former evp cio, rent-a-center; dr. robert zandoli, global ciso, bunge ltd.; michael zanga, cao corporate and international banking americas, royal bank of scotland; sigal zarmi, vice chairwoman, global cio, pwc; elaine zelby, enterprise product marketing, slack. distinguished partners include absolute software; accenture; accruepartners; actifio; adobe; akamai; alfresco; appirio; apporbit; apptio; asg technologies; avanade; benchmark it; bitdefender; bluesky it partners; box; bravotech; capriza; celonis; centurylink; comcast business; commvault; darktrace; datalink; deloitte; dell emc; delphix; dropbox; eagle creek software services; equinix; eset; etouch systems; extrahop; extreme integration; ey; fibertown; finsix corp.; fireeye; fuze; gemalto; gigamon; hcl technologies; hewlett packard enterprise; hotdocs; hr strategies; igneous systems; infoblox; information builders; informatica; info-tech research group; intel; it-ology; lenovo; level 3 communications; logrhythm; magenic; neudesic; new relic; newtek managed technology solutions; nimble storage; npi; nth generation; numerify; nutanix; oci; okta; onapsis; oneneck it solutions; optiv; phishme; platform9; pluralsight; proofpoint; pure storage; qlik; rackspace; rubrik; sap; scalearc; securityscorecard; servicenow; singtel; sprint; starpoint technologies; sumo logic; symantec; tamr; tanium; tb consulting; technology partners; telepacific communications; tintri; trace3; turbonomic; unisys; vidder; virtustream; western digital corporation; the windsor group; windstream; workday; yash technologies; zendesk; and zerto. ""our success enables us to re-invest in our core offerings and expand into new markets where we will bring our unique model of independent peer-to-peer research and unmatchable career acceleration opportunities to a larger audience of executives and leaders,"" says muller. ""we are the strongest executive leadership network because we understand the highly specialized demands of our executive-level audience and we know how to deliver the experiences and services that generate exceptional loyalty from our base."" about hmg strategy hmg strategy is the world's largest independent and most trusted provider of executive networking events and thought leadership to support the 360-degree needs of technology leaders.our regional cio and ciso executive leadership series, newsletters, authored books, and online resource center deliver proprietary research on leadership, innovation, transformation, and career ascent. the hmg strategy global network consists of over 300,000 senior it executives, industry experts and world-class thought leaders. hmg strategy's exclusive(cela) program provides top-tier technology executives with unparalleled peer-to-peer off-the-record straight talk to strengthen their decision-making capabilities and accelerate their career ascent. the cela program is complemented by thecela executive decision supportservices (eds) which connects enterprise technology executives with their contemporaries to who are able to offer their expertise, practical experience, and insights in disciplines ranging from effective c-suite communication strategies to crafting successful 1-3-5-year technology roadmaps. additionally, our partnerships with the world's leading search firms provide vital insights into the evolving roles of the cio and ciso. the hmg strategycio executive leadership seriesoffersa completely unique experience for it executives to gain the latest insights and best practices for driving increased business value through the use of it, and build invaluable relationships with peers and industry experts. the hmg strategyciso executive leadership seriesis designed to provide information security leaders with the insights and best practices they need to tackle the most pressing cyber security challenges facing the enterprise today and going forward. for more information on joining the strongest executive leadership network and exploring our independent, forward-thinking thought leadership platform, please visit. view original content with multimedia: source hmg strategy related links menafn0812201700701241id1096207665";P
260;zerto;devops automates processes between development and operations teams within an organization. it offers a major benefit of building a culture of collaboration between teams that was not traditionally present, resulting in a much more dynamic and flexible approach to work. devops enables smooth functioning of the complete process including building, testing, and releasing software efficiently and speedily. moreover, it offers various benefits of improved customer satisfaction, digital transformation, stable operating environments, and improved productivity. security and compliance management is an important part in cloud migration, as the resources are retained and managed in different clouds. advanced backups and recovery are a few other features that hold a significant place in every business activity that adopts cloud migration strategies. moreover, compliance monitoring enables end users to protect the virtualized workload with the required compliance policies. the major driving factors of the overall cloud migration services market are innovation, efficiency, agility, and security. north america is expected to hold the largest market size during the forecast period, as organizations are shifting toward cloud-based solutions and services, with an increasing adoption of digital business strategies. furthermore, organizations have invested heavily in advanced technologies to gain a competitive advantage and improve business operations. apac is expected to be the fastest-growing region in the global cloud migration services market. the key reasons for the high growth rate in apac include the positive economic outlook in the region, increased spending on information technology (it) infrastructure, and the tendency of cloud migration services to drive customer experience and improve operations. key topics covered: 1. introduction 2 research methodology 3 executive summary 4 premium insights 5 market overview and industry trends 6 cloud migration services market, by service type 7 cloud migration services market, by application 8 cloud migration services market, by deployment model 9 cloud migration services market, by organization size 10 cloud migration services market, by vertical 11 cloud migration services market, by region 12 competitive landscape 13 company profiles     aws      cisco      dxc      google      ibm      informatica      microsoft      ntt data      openstack      rackspace      rivermeadow      virtustream      vmware      wsm      zerto;P
293;xenex;"xenex's germ-fighting robots use pulsed xenon, an environmentally-friendly noble gas, to create intense, full spectrum(tm) uv light that destroys infectious germs in less than five minutes. hospitals using xenex devices have published clinical outcome studies in peer-reviewed journals showing 50-100 percent decreases in c.diff, mrsa and surgical site infection rates when those hospitals used the xenex robots to disinfect rooms.

  ochsner health system is committed to its comprehensive strategy for preventing healthcare associated infections (hai) and enhancing the culture of safety at its hospitals, as demonstrated by its participation in the xenex no risk infection rate reduction program(tm). recognizing the growing threat of antibiotic resistance and superbugs, ochsner medical center - jefferson highway recently deployed a fleet of xenex lightstrike® germ-zapping robots® , which is yielding substantial results. data analysis of the first 90 days of the program demonstrated that the hospital experienced a 49% reduction in clostridium difficile (c.diff) and 49% reduction in overall infection rates after adding lightstrike pulsed xenon ultraviolet (uv) light room disinfection to its cleaning protocol.

 lightstrike robots quickly destroy microscopic pathogens and multi-drug resistant organisms and are used in addition to the routine cleaning procedures that currently take place as an extra level of protection against infection. in august 2017, ochsner deployed 10 lightstrike robots at its jefferson highway campus to enhance the room disinfection process in the hospital. the lightstrike robots were provided under xenex's no risk infection rate reduction program(tm). ochsner evaluated the success of its lightstrike program based upon specific reductions in c.diff, methicillin-resistant staphylococcus aureus (mrsa) and vancomycin-resistant enterococci (vre) infection rates.

 xenex's patented full spectrum(tm) pulsed xenon uv room disinfection system is used for the advanced disinfection of healthcare facilities. due to its speed and ease of use, the xenex system has proven to integrate smoothly into hospital cleaning operations. xenex's mission is to save lives and reduce suffering by destroying the deadly microorganisms that cause hais. the company is backed by well-known investors that include ew healthcare partners, piper jaffray merchant banking, malin corporation, battery ventures, targeted technology fund ii, tectonic ventures and rk ventures. for more information, visit www.xenex.com .";P
348;ghostery;  the biggest change is found in the browser's autocomplete feature, which lets you add specific domain names. these are sites you visit on a regular basis, and will save you a fair bit of typing.  focus now lets you add alternative search engines. mozilla gives the example of rotten tomatoes. adding this to firefox focus as a search engine would allow you to see the ranking of a particular film, without actually having to go to the rotten tomatoes homepage.  mozilla launched firefox focus in november, 2016. the goal behind it was to be an ultra-fast and privacy-focused version of the already-popular open source browser. by default, focus blocks adverts and behavioral trackers. this puts it in the same stable as the likes of ghostery's private browser.  the latest version of firefox focus is available today, on both android and ios.;P
600;dialpad;"""the benefits of dialpad have also been obvious and striking beyond the hard infrastructure numbers,"" added jessett. ""dialpad has built an outstanding customer support organization that partnered with xero's it team to implement our shared vision of bringing a seamless pure-cloud communications solution to every employee in 20 separate worldwide office locations.""

 xero removes the desk phone with dialpad's solution; dialpad's pure-cloud solution enables xero to instantly provision offices and connect teams across the globe

 ""xero is a poster child for how agile, fast-growing companies can leverage a modern anywhere it stack to empower its workers with the communication tools they need - anywhere, anytime, using any device - while dramatically cutting cost and simplifying administration,"" said vincent paquet, chief product officer at dialpad. ""it's clearly time for all companies - both large and small - to cut the cord on legacy technology like xero did and embrace the cloud.""

 about dialpaddialpad is communications simplified for every business. available on any device, anywhere, dialpad includes voice, video, messaging and meetings; and is integrated with microsoft office 365 and google's g suite. dialpad is also the only business communications system built on the google cloud platform. today, over 50,000 customers and more than 65 percent of the fortune 500 have joined dialpad's mission to kill the desk phone, including uber, motorola solutions, vivint solar, xero, financial times, betterment, pagerduty, stripe, quora, and others. dialpad is funded by some of the world's best-recognized investors including amasia, andreessen horowitz, felicis ventures, gv (formerly google ventures), section 32, softbank and work-bench. to learn more about our mission to kill the desk phone, visitdialpad.comand follow@dialpadhqon twitter or like us onfacebook.

   dialpadtoday announced that xero, a global small business platform, has completed the deployment of dialpad's pure-cloud business communications solution across its global offices and is now 100 percent desk phone free. xero selected dialpad to modernize the company's telephony infrastructure and support its rapid growth and international expansion efforts, as one of the largest and fastest growing companies in australasia.

 dialpad replaces outdated desk phones and on-premises pbx equipment with a modern software-only solution that enables fast growth companies like xero to instantly spin up offices and connect international teams across any device with voice, messaging, video, and meetings. with its seamless integration with google's g suite and salesforce, dialpad has also enabled xero to modernize its it stack to ensure collaboration and productivity for employees no matter where they live or work.

 ""as a company built in the cloud, using a single easy-to-use communications solution that connects mission critical tools is really the future of work,"" said andrew jessett, general manager of internal it at xero. ""it doesn't make sense for companies to keep using legacy pbx systems that cost a fortune to install, maintain, and are massively underutilized by employees. completely ripping out all of our systems and desk phones across 10 offices and deploying dialpad has saved us nearly half a million dollars in costs already. this shows just how much smart it decisions can impact a business' bottom line today.""

 like most fast-growing, geographically dispersed companies, xero inherited a real mix of underutilized on-premise pbx systems. they were struggling to control costs and manage multiple local vendors as it opened new offices. the company recognized that a software-first communications strategy was key to supporting its dispersed and mobile workforce, while cutting costs. after reviewing several options, xero selected dialpad as the solution that:";P
919;datarobot;"the datarobot automated machine learning platform puts the power of machine learning into the hands of any business user. datarobot automates the data science workflow, enabling users to build and deploy highly accurate predictive models in a fraction of the time of traditional methods.

  cb insights has named datarobot , the pioneer in automated machine learning (ml), to the artificial intelligence 100 list (ai 100), a select group of teams and technologies that are successfully using ai to solve massive business challenges. cb insights ceo and co-founder,anand sanwal, revealed the full list of 2018 winners during the a-ha! conference held at sfjazz in san francisco, ca, december 12 and 13, 2017.

 about datarobotdatarobot offers an enterprise automated machine learning platform that empowers users of all skill levels to make better predictions faster. incorporating a library of hundreds of the most powerful open source machine learning algorithms, the datarobot platform automates, trains and evaluates predictive models in parallel, delivering more accurate predictions at scale. datarobot provides the fastest path to data science success for organizations of all sizes. for more information, visit www. datarobot.com .

 ""from the acquisition of nutonian, to the addition of multiple new fortune 100 customers, 2017 has been a tremendous year of growth for datarobot, reaffirming our position as the leader in automated machine learning,"" said jeremy achin, ceo of datarobot. ""being recognized as one of the top ai companies in the world by cb insights is rewarding, and it reflects our continued efforts in transforming how businesses make decisions through the power of ai.""

 datarobot named to 2018 'ai 100' by cb insights; leader in automated machine learning cited as one of the 100 most promising private artificial intelligence companies for the second consecutive year

 datarobot continued its rapid ascent in 2017, experiencing triple-digit percent increases in customers and revenue. the company's may acquisition of nutonian further separated it from the field, making it the most viable ai-focused company in the market, with the fastest and easiest way to develop and deploy machine learning models in the enterprise. most recently, datarobot achieved prestigious "" machine learning competency status "" from amazon web services.";P
961;atreca;"atreca's technology provides unbiased and virtually error-free antibody and t cell receptor (tcr) sequences at from single b and t cells of active human immune responses, enabling the identification, generation, and analysis of functional human antibodies and tcrs directly from such responses.

 atreca reports on tumor-fighting responses in b cells from patients with non-progressing metastatic cancers; new research findings published in clinical immunology

 ""we are proud of this seminal work, having discovered key features of patient immune responses to cancer. by examining single patient b cells, atreca has a unique opportunity to understand productive anti-tumor responses and develop effective, next-generation cancer immunotherapies,"" said tito a. serafini, ph.d., atreca's president, chief executive officer, and co-founder. ""based on these and other compelling research findings, atreca is executing on its goals of both identifying the widest range of antibodies targeting public tumor antigens and advancing a robust therapeutic pipeline using that information.""

 atreca is a privately held biotechnology company developing novel therapeutics drawn from human immune responses, including effective anti-cancer immune responses. we are able to measure and analyze the structure of clinically relevant immune responses to identify the antibodies, t cell receptors, and targets that are key to successful treatment outcomes. atreca's proprietary immune repertoire capture® technology profiles a patient's immune response at the single-cell level at very high throughput essentially without bias or error, enabling the identification and generation of functional human antibodies and tcrs without prior knowledge of antigen. the company is advancing a pipeline of candidates designed to engage the human immune response in oncology and other indications, thus driving better therapeutic outcomes. for more information on atreca, please visit www.atreca.com .

  atreca, inc., a biotechnology company focused on developing novel therapeutics based on a deep understanding of the human immune response, announced today publication of noteworthy results in preclinical cancer research enabled by atreca's immune repertoire capture® (irc(tm)) technology. as reported in clinical immunology (doi: 10.1016/j.clim.2017.10.002 ), atreca scientists, collaborating with researchers at stanford university and california pacific medical center, demonstrated that patients with non-progressing, metastatic cancer generate antibodies directed against public tumor antigens (epitopes present in tumors of more than one patient) in a manner having the hallmarks of a typical antigen-driven humoral immune response. in preclinical in vivo models, certain of these antibodies also induce tumor regression and durable anti-tumor immunity. the research involved the sequencing and analysis of native antibodies accessed from single b cells in the active, ongoing anti-tumor immune responses of non-progressing patients with metastatic melanoma, lung adenocarcinoma, or renal cell carcinoma.

 ""this published research further confirms our ability to use irc(tm) technology to validate b cell responses as a vital window for understanding effective patient immune responses in cancer, including the discovery of patient antibodies serving as the foundation for therapeutic discovery,"" commented william h. robinson, m.d., ph.d., atreca board member, co-founder, and associate professor of medicine in the division of immunology and rheumatology of the department of medicine at stanford university, as well as co-author on the published research. ""by measuring key features of the immune response from non-progressing patients, including patient antibodies' targeting of antigens expressed across multiple cancer types, we now have important new evidence of the role of b cells in mounting effective immune responses to cancer.""";P
1066;shopsavvy;about purchpurch is a digital publishing and marketplace platform uniquely positioned at the intersection of content, commerce and customer. by combining in-depth product reviews, comparisons, and services with industry leading publisher technology, purch creates a seamless connection between intent-based buyers and sellers. the company generates more than $1billion annually in facilitated commerce through its tech, shopping, lifestyle and smb brands, including tom's guide, top ten reviews, shopsavvy and business.com. with more than 1,200 product categories, purch is the #1source for buying advice for more than 100 million people each month.;P
